model,accuracy,precision,recall,f1,roc_auc
RandomForest_All,0.7446808510638298,0.717948717948718,0.9655172413793104,0.8235294117647058,0.8304597701149425
RandomForest_Selected,0.7659574468085106,0.7368421052631579,0.9655172413793104,0.835820895522388,0.7978927203065134
LinearSVM_All,0.8085106382978723,0.8125,0.896551724137931,0.8524590163934426,0.7318007662835249
LinearSVM_Selected,0.6382978723404256,0.6666666666666666,0.8275862068965517,0.7384615384615385,0.6628352490421456
RBFSVM_All,0.8723404255319149,0.8484848484848485,0.9655172413793104,0.9032258064516129,0.8754789272030652
RBFSVM_Selected,0.851063829787234,0.84375,0.9310344827586207,0.8852459016393442,0.8563218390804598
LogisticL2_All,0.7872340425531915,0.8064516129032258,0.8620689655172413,0.8333333333333334,0.7337164750957854
LogisticL2_Selected,0.7021276595744681,0.7027027027027027,0.896551724137931,0.7878787878787878,0.7183908045977011
LogisticL1_All,0.7872340425531915,0.8064516129032258,0.8620689655172413,0.8333333333333334,0.7049808429118775
LogisticL1_Selected,0.6808510638297872,0.7058823529411765,0.8275862068965517,0.7619047619047619,0.7547892720306514
LogisticElasticNet_All,0.7872340425531915,0.8064516129032258,0.8620689655172413,0.8333333333333334,0.7394636015325671
LogisticElasticNet_Selected,0.6382978723404256,0.6764705882352942,0.7931034482758621,0.7301587301587301,0.7203065134099617
